image,label,profile_angle_deg,s_pixel,visibility,mean_intensity
Pic_20260525192628038.png,图(a),-6.0,145.0,0.666693832956067,90.51690791639227
Pic_20260525192628038.png,图(a),-6.0,165.0,0.5984639922721684,120.22348856331705
Pic_20260525192628038.png,图(a),-6.0,185.0,0.5016826781382272,154.10431513573164
Pic_20260525192628038.png,图(a),-6.0,205.0,0.48856706702173713,166.56954789065364
Pic_20260525192628038.png,图(a),-6.0,225.0,0.48856706702173713,162.07157967354956
Pic_20260525192628038.png,图(a),-6.0,245.0,0.4585185516926273,181.34967812525272
Pic_20260525192628038.png,图(a),-6.0,265.0,0.3428149906399676,207.93739908790803
Pic_20260525192628038.png,图(a),-6.0,285.0,0.3428149906399676,208.51681400911377
Pic_20260525192628038.png,图(a),-6.0,305.0,0.38114639056309957,187.8349613846198
Pic_20260525192628038.png,图(a),-6.0,325.0,0.38114639056309957,193.9009700710171
Pic_20260525192628038.png,图(a),-6.0,345.0,0.329783894137514,215.16250860815006
Pic_20260525192628038.png,图(a),-6.0,365.0,0.3377266311050995,209.49472123140734
Pic_20260525192628038.png,图(a),-6.0,385.0,0.4108267512267155,184.54756702294145
Pic_20260525192628038.png,图(a),-6.0,405.0,0.4109267301007638,186.17485789560058
Pic_20260525192628038.png,图(a),-6.0,425.0,0.411366049540522,207.14375546708143
Pic_20260525192628038.png,图(a),-6.0,445.0,0.4339785944070042,197.7881645156994
Pic_20260525192628038.png,图(a),-6.0,465.0,0.5030240174487873,169.58358574544192
Pic_20260525192628038.png,图(a),-6.0,485.0,0.5030240174487873,169.1451855487535
Pic_20260525192628038.png,图(a),-6.0,505.0,0.5030240174487873,185.49970500164102
Pic_20260525192628038.png,图(a),-6.0,525.0,0.5692014238057995,163.7551353294709
Pic_20260525192628038.png,图(a),-6.0,545.0,0.6237357166115651,131.03395011273315
Pic_20260525192628038.png,图(a),-6.0,565.0,0.6170351873069874,118.26059423795151
Pic_20260525194646918.png,图(b),75.0,433.0,0.5076750088080804,73.37199574877883
Pic_20260525194646918.png,图(b),75.0,453.0,0.42810763634797044,92.62372669778192
Pic_20260525194646918.png,图(b),75.0,473.0,0.3415997772566647,111.03650371000673
Pic_20260525194646918.png,图(b),75.0,493.0,0.328475385308557,123.25491964753334
Pic_20260525194646918.png,图(b),75.0,513.0,0.32829409867440484,126.67879426843267
Pic_20260525194646918.png,图(b),75.0,533.0,0.25978876434355613,131.95827854814925
Pic_20260525194646918.png,图(b),75.0,553.0,0.24975277828625894,142.38289185902389
Pic_20260525194646918.png,图(b),75.0,573.0,0.3222446082269405,150.50967526979474
Pic_20260525194646918.png,图(b),75.0,593.0,0.3222446082269405,153.30468792866122
Pic_20260525194646918.png,图(b),75.0,613.0,0.3414682542719419,147.09940905507725
Pic_20260525194646918.png,图(b),75.0,633.0,0.4384669760316349,142.40236238687876
Pic_20260525194646918.png,图(b),75.0,653.0,0.4384669760316349,146.99086393342088
Pic_20260525194646918.png,图(b),75.0,673.0,0.4384669760316349,149.46876545859215
Pic_20260525194646918.png,图(b),75.0,693.0,0.42493584648725186,145.71737317724273
Pic_20260525194646918.png,图(b),75.0,713.0,0.43418892611253407,132.34429158598812
Pic_20260525194646918.png,图(b),75.0,733.0,0.4853740082718478,124.31319391349601
Pic_20260525194646918.png,图(b),75.0,753.0,0.4853740082718478,132.20410823068568
Pic_20260525194646918.png,图(b),75.0,773.0,0.4853740082718478,134.08442282554935
Pic_20260525194646918.png,图(b),75.0,793.0,0.4487804407571588,122.5278348487124
Pic_20260525194646918.png,图(b),75.0,813.0,0.4626693379455358,103.71697496640552
Pic_20260525194646918.png,图(b),75.0,833.0,0.5159058135205413,95.84374884623114
Pic_20260525194646918.png,图(b),75.0,853.0,0.5159058135205413,97.97160051471779
